Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
1.431,0.013,4.82,346.886,261.313,1.645
1.431,0.013,4.82,346.886,261.313,1.645
1.39,0.013,4.843,348.264,258.918,1.037
1.39,0.013,4.843,348.264,258.918,1.037
1.341,0.011,4.857,348.792,256.378,0.737
1.312,0.009,4.859,349.089,255.666,0.743
1.282,0.006,4.857,348.817,255.106,1.062
1.259,0.004,4.853,348.446,254.335,1.246
1.218,0.003,4.843,347.776,252.563,1.089
1.201,0.005,4.839,347.724,251.543,0.632
1.192,0.006,4.837,347.59,251.237,0.352
1.167,0.011,4.831,347.768,250.036,359.846
1.117,0.017,4.822,347.056,247.873,359.052
1.108,0.018,4.821,346.94,247.691,359.077
1.083,0.019,4.818,347.567,246.888,359.031
1.044,0.019,4.817,348.76,245.236,358.862
1.02,0.019,4.818,348.634,244.245,358.779
1.004,0.018,4.819,348.552,243.442,358.756
0.974,0.016,4.824,348.664,241.054,358.759
0.935,0.012,4.834,348.154,237.373,359.204
0.935,0.012,4.834,348.154,237.373,359.204
0.901,0.009,4.848,347.204,233.564,359.661
0.877,0.006,4.859,346.482,230.7,0.128
0.852,0.004,4.87,345.943,228.153,0.565
0.812,0.009,4.891,347.659,223.798,0.918
0.804,0.009,4.895,347.483,222.902,0.988
0.771,0.012,4.91,346.83,219.631,1.28
0.732,0.011,4.927,347.098,216.203,1.659
0.716,0.011,4.932,347.769,215.385,1.426
0.666,0.012,4.945,349.265,213.887,359.927
0.652,0.012,4.947,349.275,213.396,359.854
0.646,0.011,4.948,349.225,212.961,359.98
0.614,0.01,4.949,349.602,210.885,359.889
0.59,0.009,4.948,349.646,209.36,359.563
0.577,0.008,4.947,349.342,208.882,359.859
0.558,0.007,4.943,348.967,208.33,0.132
0.525,0.006,4.934,348.169,207.457,0.608
0.512,0.006,4.93,348.062,207.284,0.8
0.491,0.006,4.922,347.33,207.301,1.304
0.47,0.007,4.912,346.98,207.572,1.597
0.463,0.008,4.909,347.042,207.766,1.678
0.434,0.014,4.894,346.269,208.623,2.309
0.4,0.018,4.875,345.293,208.472,2.923
0.38,0.02,4.864,344.92,207.812,3.006
0.354,0.021,4.85,344.619,206.572,3.404
0.334,0.022,4.842,344.747,205.359,3.235
0.316,0.023,4.836,344.503,203.869,2.637
0.316,0.023,4.836,344.503,203.869,2.637
0.291,0.025,4.831,343.143,202.269,2.312
0.27,0.027,4.828,342.329,201.253,1.739
0.247,0.027,4.828,341.88,200.205,1.156
0.218,0.024,4.833,341.4,198.533,0.6
0.213,0.024,4.835,341.092,198.14,0.441
0.183,0.022,4.842,340.912,196.437,359.87
0.158,0.021,4.85,340.443,194.753,359.939
0.145,0.022,4.855,340.868,193.988,359.939
0.138,0.022,4.857,340.986,193.565,359.907
0.106,0.025,4.869,340.376,192.374,359.891
0.087,0.026,4.876,340.57,191.951,0.039
0.063,0.025,4.886,340.658,191.501,0.548
0.051,0.025,4.891,340.885,191.698,0.571
0.034,0.023,4.897,341.069,192.621,0.746
0.011,0.018,4.906,342.041,195.495,0.55
0.006,0.017,4.908,342.286,196.184,0.508
-0.013,0.016,4.911,343.662,200.042,0.392
-0.026,0.015,4.913,344.791,203.895,0.253
-0.041,0.012,4.913,346.285,209.726,0.463
-0.053,0.01,4.913,346.932,213.938,0.924
-0.057,0.01,4.913,347.175,215.462,1.03
-0.073,0.008,4.91,348.202,222.101,0.856
-0.092,0.006,4.902,349.363,231.18,1.219
-0.095,0.004,4.9,349.603,233.006,1.548
-0.103,0.003,4.896,350.12,236.698,1.795
-0.103,0.003,4.896,350.12,236.698,1.795
-0.137,-0.001,4.86,351.565,251.244,2.263
-0.145,-0.002,4.85,351.7,254.032,2.408
-0.165,0,4.823,353.002,260.397,1.857
-0.169,0.002,4.817,353.213,261.602,1.797
-0.169,0.002,4.817,353.213,261.602,1.797
-0.212,0.008,4.761,351.56,271.943,3.133
-0.224,0.01,4.745,351.348,275.092,3.411
-0.241,0.011,4.725,349.97,279.076,3.921
-0.241,0.011,4.725,349.97,279.076,3.921
-0.241,0.011,4.725,349.97,279.076,3.921
-0.241,0.011,4.725,349.97,279.076,3.921
-0.276,0.012,4.687,349.38,289.514,4.224
-0.291,0.013,4.675,348.924,294.32,4.451
-0.307,0.013,4.667,348.531,299.266,4.841
-0.307,0.013,4.667,348.531,299.266,4.841
-0.335,0.014,4.658,348.917,307.021,5.683
-0.348,0.013,4.657,348.385,310.058,5.577
-0.373,0.013,4.659,348.011,314.677,5.547
-0.379,0.013,4.66,347.618,315.533,5.584
-0.379,0.013,4.66,347.618,315.533,5.584
-0.379,0.013,4.66,347.618,315.533,5.584
-0.428,0.006,4.673,347.522,322.318,5.93
-0.464,0,4.685,348.889,325.925,5.391
-0.464,0,4.685,348.889,325.925,5.391
-0.464,0,4.685,348.889,325.925,5.391
-0.516,-0.003,4.699,352.689,331.718,3.804
-0.542,-0.006,4.706,354.604,333.797,4.619
-0.548,-0.006,4.707,355.664,334.437,4.955
-0.568,-0.006,4.71,358.179,336.257,5.604
-0.568,-0.006,4.71,358.179,336.257,5.604
-0.618,-0.006,4.713,0.903,340.876,7.009
-0.637,-0.007,4.711,0.81,343.013,7.05
-0.663,-0.009,4.704,1.169,347.119,7.203
-0.663,-0.009,4.704,1.169,347.119,7.203
-0.663,-0.009,4.704,1.169,347.119,7.203
-0.735,-0.005,4.672,0.929,358.374,6.414
-0.764,0,4.657,359.117,2.119,5.869
-0.784,0.004,4.646,357.646,4.889,5.965
-0.784,0.004,4.646,357.646,4.889,5.965
-0.784,0.004,4.646,357.646,4.889,5.965
-0.827,0.012,4.623,353.952,12.654,5.13
-0.832,0.013,4.62,353.301,13.277,4.958
-0.855,0.015,4.609,351.203,17.276,4.123
-0.867,0.016,4.602,350.135,18.654,4.393
-0.867,0.016,4.602,350.135,18.654,4.393
-0.894,0.018,4.587,348.671,16.825,4.779
-0.897,0.017,4.586,348.593,15.552,4.704
-0.908,0.018,4.58,348.5,9.294,4.923
-0.908,0.018,4.58,348.5,9.294,4.923
-0.908,0.018,4.58,348.5,9.294,4.923
-0.908,0.018,4.58,348.5,9.294,4.923
-0.926,0.029,4.566,341.552,8.068,3.24
-0.931,0.029,4.561,339.051,10.566,3.321
-0.931,0.029,4.561,339.051,10.566,3.321
-0.931,0.029,4.561,339.051,10.566,3.321
-0.942,0.03,4.552,335.283,15.348,3.104
-0.948,0.029,4.549,333.852,15.455,2.724
-0.951,0.028,4.548,333.935,14.684,2.827
-0.957,0.027,4.546,332.136,11.236,2.648
-0.961,0.026,4.546,331.275,7.697,3.164
-0.965,0.026,4.547,330.092,3.643,3.777
-0.968,0.026,4.549,329.588,0.088,3.83
-0.971,0.027,4.552,328.882,355.86,3.999
-0.974,0.027,4.558,328.146,351.117,4.189
-0.976,0.026,4.566,327.833,346.132,3.966
-0.977,0.025,4.575,327.942,340.866,4.227
-0.977,0.023,4.59,328.252,333.825,4.132
-0.978,0.02,4.608,329.258,326.879,4.355
-0.978,0.02,4.625,330.231,322.184,4.094
-0.979,0.024,4.651,330.94,315.765,3.936
-0.981,0.025,4.668,330.295,311.944,4.282
-0.983,0.025,4.683,330.657,308.078,4.49
-0.986,0.025,4.702,331.589,303.257,4.645
-0.987,0.025,4.712,332.245,300.77,4.786
