Position_X,Position_Y,Position_Z,Rotation_X,Rotation_Y,Rotation_Z
-1.869,-0.002,0.923,346.541,22.214,358.182
-1.869,-0.003,0.918,347.411,25.763,357.686
-1.869,-0.003,0.918,347.411,25.763,357.686
-1.869,-0.003,0.918,347.411,25.763,357.686
-1.869,-0.003,0.918,348.729,27.91,357.876
-1.869,-0.003,0.918,348.729,27.91,357.876
-1.869,-0.003,0.918,348.729,27.91,357.876
-1.869,-0.003,0.918,348.729,27.91,357.876
-1.871,-0.003,0.919,350.289,31.88,357.496
-1.871,-0.003,0.919,350.289,31.88,357.496
-1.871,-0.003,0.919,350.289,31.88,357.496
-1.871,-0.003,0.919,350.289,31.88,357.496
-1.879,-0.002,0.922,350.26,36.654,356.083
-1.879,-0.002,0.922,350.26,36.654,356.083
-1.879,-0.002,0.922,350.26,36.654,356.083
-1.885,-0.001,0.918,348.512,42.621,356.57
-1.885,-0.001,0.918,348.512,42.621,356.57
-1.885,-0.001,0.918,348.512,42.621,356.57
-1.886,-0.001,0.915,347.286,45.36,356.814
-1.886,-0.001,0.915,347.286,45.36,356.814
-1.886,-0.001,0.915,347.286,45.36,356.814
-1.884,0,0.915,346.455,48.449,356.851
-1.884,0,0.915,346.455,48.449,356.851
-1.884,0,0.915,346.455,48.449,356.851
-1.884,0,0.915,346.455,48.449,356.851
-1.884,0,0.915,346.455,48.449,356.851
-1.859,0.004,0.922,343.97,57.017,356.458
-1.859,0.004,0.922,343.97,57.017,356.458
-1.859,0.004,0.922,343.97,57.017,356.458
-1.859,0.004,0.922,343.97,57.017,356.458
-1.805,0.008,0.93,342.342,59.313,356.384
-1.755,0.007,0.932,340.955,58.364,356.644
-1.755,0.007,0.932,340.955,58.364,356.644
-1.755,0.007,0.932,340.955,58.364,356.644
-1.679,0.004,0.931,341.292,54.997,357.182
-1.679,0.004,0.931,341.292,54.997,357.182
-1.679,0.004,0.931,341.292,54.997,357.182
-1.679,0.004,0.931,341.292,54.997,357.182
-1.533,-0.001,0.923,340.26,52.293,359.223
-1.533,-0.001,0.923,340.26,52.293,359.223
-1.533,-0.001,0.923,340.26,52.293,359.223
-1.533,-0.001,0.923,340.26,52.293,359.223
-1.533,-0.001,0.923,340.26,52.293,359.223
-1.533,-0.001,0.923,340.26,52.293,359.223
-1.533,-0.001,0.923,340.26,52.293,359.223
-1.533,-0.001,0.923,340.26,52.293,359.223
-1.365,-0.01,0.952,346.011,43.953,357.288
-1.365,-0.01,0.952,346.011,43.953,357.288
-1.365,-0.01,0.952,346.011,43.953,357.288
-1.365,-0.01,0.952,346.011,43.953,357.288
-1.365,-0.01,0.952,346.011,43.953,357.288
-1.365,-0.01,0.952,346.011,43.953,357.288
-1.365,-0.01,0.952,346.011,43.953,357.288
-1.067,-0.003,1.085,348.265,44.647,354.452
-1.067,-0.003,1.085,348.265,44.647,354.452
-1.067,-0.003,1.085,348.265,44.647,354.452
-1.067,-0.003,1.085,348.265,44.647,354.452
-1.067,-0.003,1.085,348.265,44.647,354.452
-1.067,-0.003,1.085,348.265,44.647,354.452
-0.796,-0.008,1.128,347.231,43.21,351.383
-0.796,-0.008,1.128,347.231,43.21,351.383
-0.796,-0.008,1.128,347.231,43.21,351.383
-0.796,-0.008,1.128,347.231,43.21,351.383
-0.551,-0.027,1.077,356.864,49.764,356.756
-0.551,-0.027,1.077,356.864,49.764,356.756
-0.551,-0.027,1.077,356.864,49.764,356.756
-0.551,-0.027,1.077,356.864,49.764,356.756
-0.303,-0.025,1.057,355.237,40.207,355.446
-0.303,-0.025,1.057,355.237,40.207,355.446
-0.158,-0.037,1.05,352.684,33.788,357.427
-0.158,-0.037,1.05,352.684,33.788,357.427
-0.158,-0.037,1.05,352.684,33.788,357.427
-0.044,-0.025,1.048,354.305,33.616,358.999
-0.044,-0.025,1.048,354.305,33.616,358.999
-0.044,-0.025,1.048,354.305,33.616,358.999
-0.044,-0.025,1.048,354.305,33.616,358.999
-0.044,-0.025,1.048,354.305,33.616,358.999
-0.044,-0.025,1.048,354.305,33.616,358.999
-0.044,-0.025,1.048,354.305,33.616,358.999
-0.044,-0.025,1.048,354.305,33.616,358.999
0.128,-0.014,1.024,352.723,25.5,356.751
0.128,-0.014,1.024,352.723,25.5,356.751
0.128,-0.014,1.024,352.723,25.5,356.751
0.128,-0.014,1.024,352.723,25.5,356.751
0.128,-0.014,1.024,352.723,25.5,356.751
0.128,-0.014,1.024,352.723,25.5,356.751
0.506,-0.015,0.871,353.055,4.648,358.138
0.506,-0.015,0.871,353.055,4.648,358.138
0.506,-0.015,0.871,353.055,4.648,358.138
0.506,-0.015,0.871,353.055,4.648,358.138
0.506,-0.015,0.871,353.055,4.648,358.138
0.772,-0.027,0.858,346.269,352.156,359.38
0.772,-0.027,0.858,346.269,352.156,359.38
0.772,-0.027,0.858,346.269,352.156,359.38
0.944,-0.003,0.875,344.745,349.816,359.076
0.944,-0.003,0.875,344.745,349.816,359.076
1.056,-0.007,0.871,342.319,347.828,359.533
1.056,-0.007,0.871,342.319,347.828,359.533
1.056,-0.007,0.871,342.319,347.828,359.533
1.166,-0.016,0.852,341.591,343.564,0.112
1.166,-0.016,0.852,341.591,343.564,0.112
1.166,-0.016,0.852,341.591,343.564,0.112
1.333,-0.003,0.823,343.667,337.765,0.018
1.333,-0.003,0.823,343.667,337.765,0.018
1.333,-0.003,0.823,343.667,337.765,0.018
1.333,-0.003,0.823,343.667,337.765,0.018
1.429,-0.003,0.816,342.729,335.536,357.827
1.429,-0.003,0.816,342.729,335.536,357.827
1.534,-0.011,0.833,340.981,329.75,357.469
1.59,-0.019,0.857,340.683,327.627,358.34
1.59,-0.019,0.857,340.683,327.627,358.34
1.59,-0.019,0.857,340.683,327.627,358.34
1.59,-0.019,0.857,340.683,327.627,358.34
1.672,-0.01,0.902,342.878,327.4,359.529
1.672,-0.01,0.902,342.878,327.4,359.529
1.734,-0.005,0.935,342.712,326.463,358.733
1.792,-0.003,0.965,343.047,325.664,356.868
1.792,-0.003,0.965,343.047,325.664,356.868
1.792,-0.003,0.965,343.047,325.664,356.868
1.792,-0.003,0.965,343.047,325.664,356.868
1.792,-0.003,0.965,343.047,325.664,356.868
1.865,-0.009,1.001,343.017,324.111,356.382
1.865,-0.009,1.001,343.017,324.111,356.382
1.865,-0.009,1.001,343.017,324.111,356.382
1.865,-0.009,1.001,343.017,324.111,356.382
1.865,-0.009,1.001,343.017,324.111,356.382
2.051,-0.017,1.072,346.271,320.738,357.68
2.205,-0.004,1.154,346.676,318.765,356.961
2.205,-0.004,1.154,346.676,318.765,356.961
2.205,-0.004,1.154,346.676,318.765,356.961
2.278,-0.014,1.228,346.596,317.479,355.379
2.278,-0.014,1.228,346.596,317.479,355.379
2.318,-0.021,1.305,345.756,317.815,355.284
2.318,-0.021,1.305,345.756,317.815,355.284
2.318,-0.021,1.305,345.756,317.815,355.284
2.346,-0.017,1.37,346.12,318.035,356.631
2.346,-0.017,1.37,346.12,318.035,356.631
2.346,-0.017,1.37,346.12,318.035,356.631
2.346,-0.017,1.37,346.12,318.035,356.631
2.346,-0.017,1.37,346.12,318.035,356.631
2.404,0,1.503,346.548,318.485,356.351
2.45,-0.008,1.588,346.956,318.764,356.242
2.45,-0.008,1.588,346.956,318.764,356.242
2.45,-0.008,1.588,346.956,318.764,356.242
2.513,-0.019,1.687,346.291,317.499,357.568
2.513,-0.019,1.687,346.291,317.499,357.568
2.513,-0.019,1.687,346.291,317.499,357.568
2.513,-0.019,1.687,346.291,317.499,357.568
2.572,-0.01,1.774,347.192,315.609,358.404
2.572,-0.01,1.774,347.192,315.609,358.404
2.632,-0.005,1.899,344.776,314.442,358.079
2.632,-0.005,1.899,344.776,314.442,358.079
2.632,-0.005,1.899,344.776,314.442,358.079
2.632,-0.005,1.899,344.776,314.442,358.079
2.656,-0.011,2.014,344.303,314.667,357.104
2.656,-0.011,2.014,344.303,314.667,357.104
